date,store_id,category,sub_category,item_id,is_weekend,is_holiday,units_sold,revenue,avg_price,footfall,promotion_discount_pct,promotion_type,holiday_type,weather_condition,temperature_c
2025-01-15,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2389.46,155.16,394,30,BOGO,no_holiday,Rainy,28.5
2025-01-16,Store_1,Household,General,Hsh_Item_1,0,1,16.0,2475.36,171.9,352,10,Discount,Christmas,Cloudy,15.2
2025-01-17,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2779.06,165.42,382,20,no_promotion,no_holiday,Storm,29.0
2025-01-18,Store_1,Household,General,Hsh_Item_1,1,0,26.0,3358.45,184.53,359,30,BOGO,no_holiday,Cloudy,22.5
2025-01-19,Store_1,Household,General,Hsh_Item_1,1,0,27.0,4506.84,166.92,367,0,no_promotion,no_holiday,Sunny,21.0
2025-01-20,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2458.76,159.66,400,30,Clearance,no_holiday,Cloudy,24.2
2025-01-21,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3539.54,201.11,397,20,Discount,no_holiday,Sunny,23.0
2025-01-22,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2686.6,176.75,410,20,BOGO,no_holiday,Cloudy,35.2
2025-01-23,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2786.94,180.97,421,30,no_promotion,no_holiday,Sunny,17.8
2025-01-24,Store_1,Household,General,Hsh_Item_1,0,0,10.0,1594.8,159.48,276,0,no_promotion,no_holiday,Sunny,21.0
2025-01-25,Store_1,Household,General,Hsh_Item_1,1,0,29.0,3994.11,172.16,464,20,BOGO,no_holiday,Storm,37.2
2025-01-26,Store_1,Household,General,Hsh_Item_1,1,0,23.0,2923.76,181.6,356,30,Clearance,no_holiday,Sunny,15.1
2025-01-27,Store_1,Household,General,Hsh_Item_1,0,1,24.0,3922.32,163.43,340,0,no_promotion,NewYear,Sunny,19.5
2025-01-28,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2855.31,185.41,432,30,no_promotion,no_holiday,Cloudy,24.2
2025-01-29,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3289.92,171.35,443,20,Discount,no_holiday,Rainy,31.1
2025-01-30,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2584.26,175.8,388,30,Discount,no_holiday,Storm,38.5
2025-01-31,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2878.51,171.34,423,20,no_promotion,no_holiday,Cloudy,22.6
2025-02-01,Store_1,Household,General,Hsh_Item_1,1,0,25.0,4650.08,206.67,396,10,Clearance,no_holiday,Rainy,32.4
2025-02-02,Store_1,Household,General,Hsh_Item_1,1,0,27.0,4854.87,179.81,452,0,no_promotion,no_holiday,Sunny,32.6
2025-02-03,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3163.58,164.77,402,20,no_promotion,no_holiday,Sunny,17.0
2025-02-04,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2954.34,191.84,403,30,BOGO,no_holiday,Cloudy,26.6
2025-02-05,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2631.2,162.42,379,10,BOGO,no_holiday,Rainy,22.6
2025-02-06,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3202.68,183.01,460,30,Clearance,no_holiday,Cloudy,30.9
2025-02-07,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2307.06,151.78,392,20,BOGO,no_holiday,Cloudy,21.3
2025-02-08,Store_1,Household,General,Hsh_Item_1,1,0,22.0,3185.23,160.87,381,10,BOGO,no_holiday,Storm,28.7
2025-02-09,Store_1,Household,General,Hsh_Item_1,1,0,36.0,4607.32,182.83,407,30,no_promotion,no_holiday,Cloudy,25.9
2025-02-10,Store_1,Household,General,Hsh_Item_1,0,1,23.0,3507.59,190.63,365,20,BOGO,NewYear,Storm,19.4
2025-02-11,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3284.46,182.47,386,0,no_promotion,no_holiday,Rainy,38.7
2025-02-12,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2621.45,178.33,400,30,no_promotion,no_holiday,Storm,16.8
2025-02-13,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3091.62,175.66,437,20,no_promotion,no_holiday,Rainy,29.3
2025-02-14,Store_1,Household,General,Hsh_Item_1,0,0,24.0,2666.33,158.71,456,30,no_promotion,no_holiday,Sunny,16.7
2025-02-15,Store_1,Household,General,Hsh_Item_1,1,0,29.0,3935.42,169.63,422,20,BOGO,no_holiday,Storm,24.6
2025-02-16,Store_1,Household,General,Hsh_Item_1,1,0,23.0,3588.76,173.37,497,10,Discount,no_holiday,Storm,33.4
2025-02-17,Store_1,Household,General,Hsh_Item_1,0,0,22.0,4294.84,195.22,397,0,no_promotion,no_holiday,Cloudy,39.8
2025-02-18,Store_1,Household,General,Hsh_Item_1,0,0,22.0,4068.9,184.95,427,0,no_promotion,no_holiday,Cloudy,33.8
2025-02-19,Store_1,Household,General,Hsh_Item_1,0,0,16.0,2226.38,154.61,389,10,Discount,no_holiday,Rainy,22.4
2025-02-20,Store_1,Household,General,Hsh_Item_1,0,0,14.0,1809.77,184.67,379,30,no_promotion,no_holiday,Storm,29.3
2025-02-21,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3140.1,174.45,449,0,no_promotion,no_holiday,Sunny,33.8
2025-02-22,Store_1,Household,General,Hsh_Item_1,1,0,23.0,3132.6,170.25,365,20,Clearance,no_holiday,Cloudy,28.6
2025-02-23,Store_1,Household,General,Hsh_Item_1,1,0,34.0,5777.59,188.81,399,10,Discount,no_holiday,Storm,16.8
2025-02-24,Store_1,Household,General,Hsh_Item_1,0,0,20.0,2727.9,194.85,327,30,Clearance,no_holiday,Sunny,29.8
2025-02-25,Store_1,Household,General,Hsh_Item_1,0,0,13.0,1760.03,193.41,329,30,Clearance,no_holiday,Rainy,37.7
2025-02-26,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2115.79,167.92,365,30,Clearance,no_holiday,Sunny,33.6
2025-02-27,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2703.47,175.55,397,30,no_promotion,no_holiday,Sunny,20.6
2025-02-28,Store_1,Household,General,Hsh_Item_1,0,0,20.0,3695.4,184.77,411,0,no_promotion,no_holiday,Cloudy,39.2
2025-03-01,Store_1,Household,General,Hsh_Item_1,1,0,21.0,3260.04,194.05,400,20,BOGO,no_holiday,Rainy,24.6
2025-03-02,Store_1,Household,General,Hsh_Item_1,1,0,23.0,3583.17,173.1,384,10,BOGO,no_holiday,Storm,23.8
2025-03-03,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2234.36,177.33,363,30,Clearance,no_holiday,Sunny,22.0
2025-03-04,Store_1,Household,General,Hsh_Item_1,0,0,16.0,2625.12,164.07,393,0,no_promotion,no_holiday,Rainy,17.1
2025-03-05,Store_1,Household,General,Hsh_Item_1,0,0,25.0,2848.48,162.77,432,30,Discount,no_holiday,Rainy,39.7
2025-03-06,Store_1,Household,General,Hsh_Item_1,0,0,23.0,3527.28,191.7,394,20,Discount,no_holiday,Storm,16.9
2025-03-07,Store_1,Household,General,Hsh_Item_1,0,0,28.0,4469.47,199.53,461,20,Discount,no_holiday,Sunny,38.6
2025-03-08,Store_1,Household,General,Hsh_Item_1,1,0,21.0,3758.16,178.96,331,0,no_promotion,no_holiday,Rainy,24.0
2025-03-09,Store_1,Household,General,Hsh_Item_1,1,0,24.0,4200.12,194.45,426,10,BOGO,no_holiday,Storm,35.4
2025-03-10,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3259.7,185.21,371,20,Discount,no_holiday,Rainy,32.6
2025-03-11,Store_1,Household,General,Hsh_Item_1,0,0,28.0,4301.89,170.71,526,10,BOGO,no_holiday,Rainy,28.9
2025-03-12,Store_1,Household,General,Hsh_Item_1,0,0,23.0,3833.64,185.2,443,10,Clearance,no_holiday,Sunny,38.7
2025-03-13,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3274.83,202.15,394,10,BOGO,no_holiday,Sunny,20.2
2025-03-14,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3589.6,179.48,517,20,no_promotion,no_holiday,Storm,19.5
2025-03-15,Store_1,Household,General,Hsh_Item_1,1,0,21.0,4253.13,202.53,344,0,no_promotion,no_holiday,Sunny,19.8
2025-03-16,Store_1,Household,General,Hsh_Item_1,1,0,33.0,4225.72,142.28,394,10,Discount,no_holiday,Rainy,23.3
2025-03-17,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3107.81,191.84,348,10,BOGO,no_holiday,Cloudy,38.0
2025-03-18,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2465.0,181.25,363,20,no_promotion,no_holiday,Rainy,20.9
2025-03-19,Store_1,Household,General,Hsh_Item_1,0,1,26.0,4111.15,175.69,428,10,Clearance,no_holiday,Cloudy,32.2
2025-03-20,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2756.06,181.32,382,20,Discount,no_holiday,Cloudy,24.4
2025-03-21,Store_1,Household,General,Hsh_Item_1,0,0,28.0,4238.64,151.38,445,0,no_promotion,no_holiday,Sunny,32.0
2025-03-22,Store_1,Household,General,Hsh_Item_1,1,0,33.0,4085.0,176.84,518,30,no_promotion,no_holiday,Cloudy,24.5
2025-03-23,Store_1,Household,General,Hsh_Item_1,1,0,33.0,4887.7,185.14,450,20,Discount,no_holiday,Rainy,30.1
2025-03-24,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2898.43,201.28,367,20,BOGO,no_holiday,Cloudy,16.4
2025-03-25,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3105.72,172.54,375,0,no_promotion,no_holiday,Cloudy,37.4
2025-03-26,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3333.53,168.36,399,10,Discount,no_holiday,Rainy,28.9
2025-03-27,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2954.37,172.77,422,10,no_promotion,no_holiday,Cloudy,20.0
2025-03-28,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3129.52,193.18,389,10,no_promotion,no_holiday,Sunny,28.3
2025-03-29,Store_1,Household,General,Hsh_Item_1,1,0,33.0,4876.87,184.73,406,20,BOGO,no_holiday,Sunny,32.1
2025-03-30,Store_1,Household,General,Hsh_Item_1,1,0,28.0,4343.72,172.37,396,10,BOGO,no_holiday,Cloudy,38.2
2025-03-31,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2885.81,187.39,348,30,Discount,no_holiday,Storm,33.0
2025-04-01,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3192.64,181.4,377,20,BOGO,no_holiday,Rainy,24.0
2025-04-02,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3723.84,193.95,422,20,no_promotion,no_holiday,Cloudy,30.6
2025-04-03,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3363.82,169.89,339,10,no_promotion,no_holiday,Storm,30.6
2025-04-04,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2383.81,175.28,319,20,Discount,no_holiday,Storm,33.5
2025-04-05,Store_1,Household,General,Hsh_Item_1,1,0,26.0,4079.79,174.35,382,10,Clearance,no_holiday,Rainy,23.6
2025-04-06,Store_1,Household,General,Hsh_Item_1,1,0,20.0,2225.02,158.93,378,30,Clearance,no_holiday,Sunny,28.5
2025-04-07,Store_1,Household,General,Hsh_Item_1,0,0,20.0,2579.64,184.26,401,30,Clearance,no_holiday,Cloudy,23.6
2025-04-08,Store_1,Household,General,Hsh_Item_1,0,0,16.0,2646.14,183.76,393,10,BOGO,no_holiday,Sunny,18.5
2025-04-09,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3025.18,180.07,356,30,no_promotion,no_holiday,Sunny,32.7
2025-04-10,Store_1,Household,General,Hsh_Item_1,0,0,13.0,2066.45,176.62,410,10,BOGO,no_holiday,Storm,36.0
2025-04-11,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2426.22,159.62,379,20,Clearance,no_holiday,Rainy,28.0
2025-04-12,Store_1,Household,General,Hsh_Item_1,1,0,12.0,2087.28,173.94,378,0,no_promotion,no_holiday,Sunny,15.1
2025-04-13,Store_1,Household,General,Hsh_Item_1,1,0,21.0,3308.63,175.06,388,10,Clearance,no_holiday,Sunny,29.7
2025-04-14,Store_1,Household,General,Hsh_Item_1,0,0,19.0,3200.55,168.45,431,0,no_promotion,no_holiday,Sunny,34.5
2025-04-15,Store_1,Household,General,Hsh_Item_1,0,0,24.0,4264.32,177.68,422,0,no_promotion,no_holiday,Rainy,36.5
2025-04-16,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3121.78,185.82,400,30,Clearance,no_holiday,Cloudy,20.2
2025-04-17,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2755.23,207.16,398,30,Discount,no_holiday,Rainy,32.9
2025-04-18,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3613.7,182.51,372,10,Clearance,no_holiday,Storm,19.5
2025-04-19,Store_1,Household,General,Hsh_Item_1,1,0,26.0,3343.52,183.71,381,30,Clearance,no_holiday,Sunny,25.2
2025-04-20,Store_1,Household,General,Hsh_Item_1,1,1,33.0,4723.75,178.93,396,20,Discount,NewYear,Cloudy,29.2
2025-04-21,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2239.84,152.37,462,30,Discount,no_holiday,Rainy,20.1
2025-04-22,Store_1,Household,General,Hsh_Item_1,0,0,20.0,2514.68,179.62,421,30,BOGO,no_holiday,Rainy,37.8
2025-04-23,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2405.57,180.87,383,30,BOGO,no_holiday,Storm,28.8
2025-04-24,Store_1,Household,General,Hsh_Item_1,0,0,20.0,3878.46,215.47,395,10,Discount,no_holiday,Rainy,29.1
2025-04-25,Store_1,Household,General,Hsh_Item_1,0,0,21.0,3721.83,177.23,443,0,no_promotion,no_holiday,Rainy,31.1
2025-04-26,Store_1,Household,General,Hsh_Item_1,1,0,35.0,5806.71,184.34,452,10,Clearance,no_holiday,Rainy,37.9
2025-04-27,Store_1,Household,General,Hsh_Item_1,1,0,33.0,5331.15,179.5,500,10,Discount,no_holiday,Rainy,18.5
2025-04-28,Store_1,Household,General,Hsh_Item_1,0,0,13.0,1909.09,163.17,435,10,Discount,no_holiday,Sunny,19.4
2025-04-29,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2887.96,196.46,368,30,Discount,no_holiday,Cloudy,17.3
2025-04-30,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2595.29,190.83,401,20,Discount,no_holiday,Cloudy,22.4
2025-05-01,Store_1,Household,General,Hsh_Item_1,0,0,16.0,3062.24,191.39,404,0,no_promotion,no_holiday,Cloudy,21.6
2025-05-02,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2837.3,166.9,408,0,no_promotion,no_holiday,Sunny,34.3
2025-05-03,Store_1,Household,General,Hsh_Item_1,1,0,28.0,5045.04,200.2,498,10,Clearance,no_holiday,Cloudy,16.9
2025-05-04,Store_1,Household,General,Hsh_Item_1,1,0,19.0,3036.39,159.81,397,0,no_promotion,no_holiday,Cloudy,28.0
2025-05-05,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3297.88,188.45,441,30,Discount,no_holiday,Storm,20.5
2025-05-06,Store_1,Household,General,Hsh_Item_1,0,0,19.0,3617.33,211.54,468,10,Clearance,no_holiday,Sunny,33.3
2025-05-07,Store_1,Household,General,Hsh_Item_1,0,0,25.0,2900.45,165.74,432,30,BOGO,no_holiday,Cloudy,35.7
2025-05-08,Store_1,Household,General,Hsh_Item_1,0,0,28.0,4811.8,171.85,439,0,no_promotion,no_holiday,Rainy,33.1
2025-05-09,Store_1,Household,General,Hsh_Item_1,0,0,15.0,2449.31,181.43,367,10,Discount,no_holiday,Rainy,36.9
2025-05-10,Store_1,Household,General,Hsh_Item_1,1,0,28.0,3869.6,172.75,452,20,Discount,no_holiday,Rainy,38.5
2025-05-11,Store_1,Household,General,Hsh_Item_1,1,0,22.0,2428.12,157.67,514,30,Discount,no_holiday,Rainy,17.3
2025-05-12,Store_1,Household,General,Hsh_Item_1,0,0,17.0,3076.83,180.99,381,0,no_promotion,no_holiday,Rainy,22.4
2025-05-13,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3294.0,164.7,423,20,Discount,no_holiday,Sunny,32.0
2025-05-14,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3138.58,186.82,387,30,no_promotion,no_holiday,Cloudy,37.6
2025-05-15,Store_1,Household,General,Hsh_Item_1,0,0,22.0,3301.85,166.76,430,10,BOGO,no_holiday,Sunny,20.5
2025-05-16,Store_1,Household,General,Hsh_Item_1,0,0,20.0,4046.4,202.32,374,0,no_promotion,no_holiday,Cloudy,37.1
2025-05-17,Store_1,Household,General,Hsh_Item_1,1,0,34.0,4015.54,168.72,358,30,Discount,no_holiday,Storm,33.7
2025-05-18,Store_1,Household,General,Hsh_Item_1,1,0,35.0,4910.08,175.36,423,20,Discount,no_holiday,Cloudy,38.9
2025-05-19,Store_1,Household,General,Hsh_Item_1,0,0,16.0,2147.15,191.71,312,30,no_promotion,no_holiday,Rainy,28.3
2025-05-20,Store_1,Household,General,Hsh_Item_1,0,0,12.0,1947.36,162.28,337,0,no_promotion,no_holiday,Storm,37.1
2025-05-21,Store_1,Household,General,Hsh_Item_1,0,0,19.0,3482.32,183.28,427,0,no_promotion,no_holiday,Rainy,28.0
2025-05-22,Store_1,Household,General,Hsh_Item_1,0,0,24.0,3340.18,198.82,500,30,Clearance,no_holiday,Sunny,32.4
2025-05-23,Store_1,Household,General,Hsh_Item_1,0,0,22.0,2760.56,156.85,391,20,Clearance,no_holiday,Cloudy,15.0
2025-05-24,Store_1,Household,General,Hsh_Item_1,1,0,21.0,3452.27,182.66,407,10,BOGO,no_holiday,Cloudy,39.5
2025-05-25,Store_1,Household,General,Hsh_Item_1,1,0,29.0,4795.61,183.74,474,10,Clearance,no_holiday,Rainy,25.8
2025-05-26,Store_1,Household,General,Hsh_Item_1,0,0,22.0,4207.72,191.26,410,0,no_promotion,no_holiday,Storm,19.3
2025-05-27,Store_1,Household,General,Hsh_Item_1,0,1,27.0,3065.39,162.19,365,30,BOGO,NewYear,Storm,31.9
2025-05-28,Store_1,Household,General,Hsh_Item_1,0,1,25.0,2817.32,160.99,397,30,Discount,IndependenceDay,Rainy,24.3
2025-05-29,Store_1,Household,General,Hsh_Item_1,0,0,26.0,3412.86,187.52,394,30,Discount,no_holiday,Sunny,19.1
2025-05-30,Store_1,Household,General,Hsh_Item_1,0,0,12.0,1990.22,184.28,338,10,no_promotion,no_holiday,Rainy,18.3
2025-05-31,Store_1,Household,General,Hsh_Item_1,1,1,36.0,5287.97,183.61,447,20,no_promotion,Christmas,Storm,29.1
2025-06-01,Store_1,Household,General,Hsh_Item_1,1,0,26.0,4809.74,184.99,443,0,no_promotion,no_holiday,Sunny,18.8
2025-06-02,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2502.09,170.21,367,30,Clearance,no_holiday,Storm,34.9
2025-06-03,Store_1,Household,General,Hsh_Item_1,0,0,26.0,3336.79,183.34,446,30,Discount,no_holiday,Rainy,20.6
2025-06-04,Store_1,Household,General,Hsh_Item_1,0,0,20.0,2579.08,184.22,327,30,no_promotion,no_holiday,Sunny,16.8
2025-06-05,Store_1,Household,General,Hsh_Item_1,0,0,28.0,3326.32,169.71,498,30,Discount,no_holiday,Sunny,38.8
2025-06-06,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3351.29,206.87,383,10,no_promotion,no_holiday,Sunny,29.0
2025-06-07,Store_1,Household,General,Hsh_Item_1,1,0,22.0,4110.04,186.82,402,0,no_promotion,no_holiday,Rainy,24.9
2025-06-08,Store_1,Household,General,Hsh_Item_1,1,0,22.0,2866.16,162.85,371,20,no_promotion,no_holiday,Cloudy,18.1
2025-06-09,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3789.0,189.45,428,20,BOGO,no_holiday,Storm,36.8
2025-06-10,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2688.55,165.96,405,10,Clearance,no_holiday,Cloudy,16.0
2025-06-11,Store_1,Household,General,Hsh_Item_1,0,0,28.0,3750.07,191.33,447,30,Discount,no_holiday,Sunny,36.8
2025-06-12,Store_1,Household,General,Hsh_Item_1,0,1,28.0,4956.34,196.68,398,10,BOGO,IndependenceDay,Sunny,39.9
2025-06-13,Store_1,Household,General,Hsh_Item_1,0,0,25.0,3363.6,168.18,507,20,Clearance,no_holiday,Storm,19.4
2025-06-14,Store_1,Household,General,Hsh_Item_1,1,0,32.0,5583.46,193.87,469,10,no_promotion,no_holiday,Rainy,36.7
2025-06-15,Store_1,Household,General,Hsh_Item_1,1,0,26.0,3384.11,185.94,437,30,Clearance,no_holiday,Rainy,34.8
2025-06-16,Store_1,Household,General,Hsh_Item_1,0,0,24.0,4604.16,191.84,462,0,no_promotion,no_holiday,Storm,25.1
2025-06-17,Store_1,Household,General,Hsh_Item_1,0,0,20.0,3731.58,207.31,393,10,Discount,no_holiday,Rainy,27.3
2025-06-18,Store_1,Household,General,Hsh_Item_1,0,0,13.0,2064.7,176.47,288,10,Discount,no_holiday,Cloudy,22.8
2025-06-19,Store_1,Household,General,Hsh_Item_1,0,0,21.0,3552.15,169.15,411,0,no_promotion,no_holiday,Storm,24.9
2025-06-20,Store_1,Household,General,Hsh_Item_1,0,0,16.0,2675.04,167.19,304,0,no_promotion,no_holiday,Rainy,18.6
2025-06-21,Store_1,Household,General,Hsh_Item_1,1,0,26.0,4374.5,168.25,367,0,no_promotion,no_holiday,Storm,24.5
2025-06-22,Store_1,Household,General,Hsh_Item_1,1,0,34.0,4257.58,178.89,435,30,Clearance,no_holiday,Rainy,20.1
2025-06-23,Store_1,Household,General,Hsh_Item_1,0,0,26.0,3846.13,184.91,448,20,BOGO,no_holiday,Sunny,31.0
2025-06-24,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2446.93,183.98,409,30,Discount,no_holiday,Rainy,39.1
2025-06-25,Store_1,Household,General,Hsh_Item_1,0,0,26.0,3991.73,191.91,355,20,Clearance,no_holiday,Storm,28.3
2025-06-26,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2270.39,180.19,403,30,Discount,no_holiday,Cloudy,31.8
2025-06-27,Store_1,Household,General,Hsh_Item_1,0,0,23.0,4159.25,200.93,406,10,Clearance,no_holiday,Rainy,24.4
2025-06-28,Store_1,Household,General,Hsh_Item_1,1,0,28.0,3946.66,176.19,409,20,Discount,no_holiday,Storm,31.3
2025-06-29,Store_1,Household,General,Hsh_Item_1,1,0,22.0,4339.57,219.17,437,10,Discount,no_holiday,Sunny,39.8
2025-06-30,Store_1,Household,General,Hsh_Item_1,0,0,20.0,3402.18,189.01,415,10,BOGO,no_holiday,Cloudy,35.2
2025-07-01,Store_1,Household,General,Hsh_Item_1,0,0,19.0,2548.43,167.66,360,20,BOGO,no_holiday,Rainy,31.2
2025-07-02,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2797.86,164.58,299,0,no_promotion,no_holiday,Sunny,28.6
2025-07-03,Store_1,Household,General,Hsh_Item_1,0,0,23.0,3009.89,186.95,453,30,BOGO,no_holiday,Rainy,26.6
2025-07-04,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2863.84,176.78,377,10,Discount,no_holiday,Rainy,28.2
2025-07-05,Store_1,Household,General,Hsh_Item_1,1,0,17.0,2587.81,190.28,399,20,BOGO,no_holiday,Storm,38.9
2025-07-06,Store_1,Household,General,Hsh_Item_1,1,0,27.0,5043.87,186.81,362,0,no_promotion,no_holiday,Sunny,22.1
2025-07-07,Store_1,Household,General,Hsh_Item_1,0,0,18.0,2254.77,178.95,385,30,BOGO,no_holiday,Rainy,25.0
2025-07-08,Store_1,Household,General,Hsh_Item_1,0,0,21.0,2819.21,167.81,372,20,BOGO,no_holiday,Sunny,21.4
2025-07-09,Store_1,Household,General,Hsh_Item_1,0,0,20.0,3163.8,158.19,425,0,no_promotion,no_holiday,Sunny,30.8
2025-07-10,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3124.26,173.57,385,0,no_promotion,no_holiday,Storm,25.3
2025-07-11,Store_1,Household,General,Hsh_Item_1,0,0,24.0,4154.33,192.33,420,10,no_promotion,no_holiday,Storm,31.8
2025-07-12,Store_1,Household,General,Hsh_Item_1,1,0,31.0,5675.48,183.08,425,0,no_promotion,no_holiday,Sunny,19.5
2025-07-13,Store_1,Household,General,Hsh_Item_1,1,0,26.0,3370.85,162.06,381,20,BOGO,no_holiday,Sunny,29.9
2025-07-14,Store_1,Household,General,Hsh_Item_1,0,1,35.0,6387.15,182.49,483,0,no_promotion,no_holiday,Storm,35.5
2025-07-15,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3339.9,185.55,372,0,no_promotion,no_holiday,Storm,31.1
2025-07-16,Store_1,Household,General,Hsh_Item_1,0,0,25.0,4181.75,167.27,458,0,no_promotion,no_holiday,Rainy,31.7
2025-07-17,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2168.3,182.21,322,30,BOGO,no_holiday,Storm,23.1
2025-07-18,Store_1,Household,General,Hsh_Item_1,0,0,25.0,4068.9,180.84,434,10,no_promotion,no_holiday,Storm,29.5
2025-07-19,Store_1,Household,General,Hsh_Item_1,1,0,36.0,5298.7,163.54,497,10,Discount,no_holiday,Cloudy,33.9
2025-07-20,Store_1,Household,General,Hsh_Item_1,1,0,24.0,4443.6,185.15,345,0,no_promotion,no_holiday,Storm,28.5
2025-07-21,Store_1,Household,General,Hsh_Item_1,0,0,17.0,2877.62,188.08,384,10,no_promotion,no_holiday,Sunny,30.2
2025-07-22,Store_1,Household,General,Hsh_Item_1,0,0,18.0,3520.8,195.6,385,0,no_promotion,no_holiday,Sunny,23.7
